"replicate","condition","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","SOD2","MS4A7","S100A11","TYROBP","FCGR3A","FCER1G","ACTB","SAT1","PSAP","CXCL16","FTL","PFN1","CTSS","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","ANXA1","SH3BGRL3","GAPDH","S100A6","VIM","S100A10","EMP3","RGCC","CLIC1","CCL5","ALOX5AP","CD63","C15orf48","LGALS1","CCR7","HSPA8","LTB","ACTG1","SELL","HSP90AB1","HSP90AA1","CREM","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HLA.DMA","HERPUD1","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","IDO1","TIMP1__cpm","FTH1__cpm","SOD2__cpm","MS4A7__cpm","S100A11__cpm","TYROBP__cpm","FCGR3A__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","PSAP__cpm","CXCL16__cpm","FTL__cpm","PFN1__cpm","CTSS__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","ANXA1__cpm","SH3BGRL3__cpm","GAPDH__cpm","S100A6__cpm","VIM__cpm","S100A10__cpm","EMP3__cpm","RGCC__cpm","CLIC1__cpm","CCL5__cpm","ALOX5AP__cpm","CD63__cpm","C15orf48__cpm","LGALS1__cpm","CCR7__cpm","HSPA8__cpm","LTB__cpm","ACTG1__cpm","SELL__cpm","HSP90AB1__cpm","HSP90AA1__cpm","CREM__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HLA-DMA__cpm","HERPUD1__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","IDO1__cpm"
"patient_101","ctrl",858,469248,308480,13805,135153,2001,529,4637,2979,877,3652,10631,2165,1948,483,58886,5891,650,216,404,99,59,88,8,42,36,179,108,72,256,322,2726,4027,4382,2978,3761,3113,2671,733,1595,639,445,2985,3410,2450,884,1147,499,1833,132,778,990,777,4673,5322,2387,1611,1572,730,708,300,556,125,123,132,7,961,142,29419.4114839062,288020.407119476,4264.26963993453,1127.33565193672,9881.76827605019,6348.455400982,1868.94776322968,7782.66503000546,22655.3975722859,4613.76500272777,4151.32296781233,1029.30646481178,125490.145935625,12554.1291598472,1385.19503546099,460.310965630115,860.95199127114,210.975859247136,125.733087834152,187.534097108565,17.0485542825968,89.5049099836334,76.7184942716858,381.461402073104,230.155482815057,153.436988543372,545.553737043099,686.204309874523,5809.29487179487,8581.81601200218,9338.34560829242,6346.32433169667,8014.95158210584,6634.01868521549,5692.08606110202,1562.07378614293,3399.05551009274,1361.75327332242,948.325831969449,6361.24181669394,7266.9462629569,5221.11974904528,1883.86524822695,2444.33647026732,1063.40357337698,3906.25,281.301145662848,1657.97190398254,2109.75859247136,1655.84083469722,9958.48677032188,NA,NA,NA,NA,NA,NA,NA,1184.87452264048,266.383660665576,262.121522094926,281.301145662848,14.9174849972722,2047.95758319694,302.611838516094
"patient_101","stim",1166,808913,496629,9095,120182,6234,1364,7103,5391,1397,5042,7926,11387,2463,601,71896,4344,1670,42823,12495,5670,6300,5476,5785,3830,3660,2894,5621,2625,2814,2610,6496,3535,3279,3086,3277,3903,3869,412,3222,940,675,3662,6783,2921,1956,1986,656,1638,729,1617,2948,1567,7071,6275,3252,2546,2080,762,727,339,727,27278,9042,7245,4816,3880,2734,11243.4835390209,148572.219756636,7706.63841476154,1686.21347413133,8780.91957973231,6664.49914885779,1727.00896140871,6233.05596522741,9798.3343078922,14076.9155644674,3044.82682315651,742.972359203029,88879.7682816323,5370.16959796665,2064.49890161241,52938.9439902684,15446.6549554773,7009.40645038465,7788.22938931628,6769.5784342692,7151.57254241185,4734.74897794942,4524.5904071266,3577.64061153672,6948.83133291219,3245.09557888178,3478.74246056127,3226.55217557389,8030.52985920612,4370.06204622747,4053.58796310604,3814.99617387778,4051.11550933166,4824.99354071451,4782.96182654995,509.325477523541,3983.12303053604,1162.05327396148,834.453148855316,4527.06286090099,8385.32697583053,3611.01873749093,2418.05979134963,2455.14659796542,810.964837998648,2024.93964122223,901.209400763741,1998.97887659118,3644.39686344514,1937.16753223153,8741.36031934213,NA,NA,NA,NA,NA,NA,NA,898.736946989355,33721.7970288523,11177.9635139997,8956.46379771372,5953.66868872178,4796.56032230907,3379.84430958583
"patient_1015","ctrl",2738,1431288,974259,30985,445646,10206,1584,11809,9092,2061,8144,24224,6209,4774,1344,202981,13226,2063,2315,1922,1004,313,921,194,432,181,853,391,545,972,1348,8482,11366,10602,8306,8274,8640,9429,2301,4622,2936,1186,8421,11426,7201,2463,3184,1732,4657,634,2356,2835,2166,14940,17192,9341,4697,4767,1830,1547,976,1586,687,970,1218,183,5188,179,21648.3335289613,311360.117600371,7130.6403742643,1106.69550782232,8250.61063880924,6352.32042747511,1439.96176870064,5689.97993415721,16924.6161499293,4338.05076266971,3335.45729440895,939.014370273488,141817.020753335,9240.62802175383,1441.35911151355,1617.42430593982,1342.8464432036,701.466092079302,218.684150219942,643.476365343662,135.542252851977,301.826047587907,126.459524568081,595.966709704825,273.180519923314,380.775916517151,679.10860707279,941.809055899302,5926.13086953849,7941.09920575035,7407.31425121988,5803.16470200267,5780.80721699616,6036.52095175814,6587.77269144994,1607.64290624948,3229.25924062802,2051.29924934744,828.624288053837,5883.51191374482,7983.01949013755,5031.13279787157,1720.82767409494,2224.56975814791,1210.09887597744,3253.71273985389,442.957671691511,1646.06983360442,1980.73343729564,1513.32226637826,10438.1508124151,NA,NA,NA,NA,NA,NA,NA,1108.09285063523,479.987256233546,677.711264259883,850.981773060348,127.856867380988,3624.7072566807,125.062181755174
"patient_1015","stim",2352,1676196,1052348,12697,250301,19380,2463,11752,10482,1588,7602,12371,18392,3161,888,139322,5860,3463,129756,29025,12804,14605,11786,13246,8201,9290,6586,11893,5291,6215,4942,10714,5923,5015,4753,5483,7100,8221,699,6511,2762,1273,6661,12464,5535,3538,4029,1225,2914,1463,3275,5150,2911,14704,14317,8985,5511,4312,965,1088,633,1464,64335,17484,17781,10491,11186,8111,7574.88981002222,149326.809036652,11561.8937164866,1469.39856675472,7011.11325883131,6253.44530114617,947.383241577954,4535.26914513577,7380.40181458493,10972.4638407442,1885.81764901002,529.770981436538,83117.964724889,3496.01120632671,2065.98750981389,77410.994895585,17315.9940722923,7638.72482692955,8713.1815133791,7031.39728289532,7902.4171397617,4892.62592202821,5542.31128101964,3929.13477898766,7095.23229980265,3156.55209772604,3707.80028111271,2948.34255659839,6391.85393593589,3533.59630973943,2991.89354944171,2835.58724636021,3271.0971747934,4235.78149572007,4904.55770088939,417.015671198356,3884.39060825822,1647.77866072941,759.457724514317,3973.8789497171,7435.88458628943,3302.11979983248,2110.73168054333,2403.65685158538,730.821455247477,1738.46018007441,872.809623695558,1953.82878851876,3072.4330567547,1736.67041324523,8772.24381874196,NA,NA,NA,NA,NA,NA,NA,873.406212638617,38381.5496517114,10430.7610804464,10607.947996535,6258.8146016337,6673.44391705982,4838.93291715289
"patient_1016","ctrl",1723,612872,387945,18224,160434,3845,679,4574,4090,1199,3786,11992,3713,2229,723,64528,6146,1310,1666,1259,432,188,604,131,265,154,497,440,309,511,814,4775,5895,5885,3731,4515,3775,3759,1320,1896,4435,678,3412,4542,3101,1086,1645,648,2041,409,1178,1559,887,6445,8908,4179,2728,3487,627,448,522,755,542,581,585,147,1833,244,29735.4096777141,261774.073542273,6273.74068320954,1107.89854977875,7463.22233680116,6673.4978918926,1956.36282943257,6177.47262071036,19566.8916184782,6058.36128914357,3636.97476797765,1179.69168113407,105287.890456735,10028.1951206777,2137.47731989714,2718.34901904476,2054.26255400801,704.878016943179,306.752470336383,985.523894059445,213.747731989714,432.3904502082,251.275959743633,810.936051899907,717.931313553238,504.183581563524,833.77932096751,1328.17293007349,7791.18641412889,9618.64793953713,9602.33131877456,6087.73120651621,7366.95427430197,6159.52433787153,6133.41774465141,2153.79394065971,3093.63129658395,7236.42130820139,1106.26688770249,5567.23100419011,7411.00915036092,5059.78409847407,1771.98501481549,2684.08411544336,1057.31702541477,3330.22229764127,667.34978918926,1922.09792583117,2543.76117688522,1447.28426164028,10516.0620814787,NA,NA,NA,NA,NA,NA,NA,1231.90486757431,884.360845331488,947.995666305525,954.522314610555,239.854325209832,2990.83658577974,398.125546606796
"patient_1016","stim",1635,739167,460595,12942,98599,5421,1369,5387,5193,1275,3966,6153,9539,1814,561,52596,3451,1866,47833,14027,6735,7156,6343,6833,4207,4816,2922,6716,2971,2644,2737,6823,3755,3511,2385,2716,3415,3510,621,2851,3488,783,2906,5711,2745,1544,2202,560,1436,805,1483,2572,1209,6718,6909,3811,2745,2933,464,233,356,810,25314,9355,6734,4375,3372,3363,17508.8985303727,133392.048075739,7333.93130375139,1852.0848468614,7287.93357928587,7025.47597498265,1724.91466745675,5365.49927147722,8324.23525400891,12905.0674610744,2454.11388766003,758.962453680968,71155.773999651,4668.76903324959,2524.46334860728,64712.0339517322,18976.7670905222,9111.60806691857,9681.16812574154,8581.28136131619,9244.18974331917,5691.54196548277,6515.44238311505,3953.09855553616,9085.90345618784,4019.38939373646,3576.99951431814,3702.81681947381,9230.66100082931,5080.04280494124,4749.94148818873,3226.60508383085,3674.40646024511,4620.06556028611,4748.58861393975,840.134908620109,3857.04448385818,4718.82538046206,1059.30053695579,3931.45256755239,7726.26483595723,3713.6398134657,2088.83784043389,2979.02909626647,757.609579431982,1942.72742154344,1089.06377043347,2006.31251124577,3479.59256839118,1635.62496702369,9088.60920468581,NA,NA,NA,NA,NA,NA,NA,1095.8281416784,34246.6587388236,12656.1385992611,9110.25519266959,5918.82483931236,4561.89196757972,4549.71609933885
"patient_1039","ctrl",461,358839,161535,8232,73659,1552,184,1897,1461,227,1506,4908,1385,889,269,28821,2619,205,373,362,150,39,155,29,46,20,115,35,74,163,180,1290,1792,1966,1188,2099,1574,1595,405,749,258,294,1437,2764,1330,678,481,328,904,129,319,398,267,2176,2939,1194,655,819,254,236,139,185,41,114,125,23,760,75,22940.6502637673,205270.330148061,4325.05942776566,512.764777518609,5286.49338561305,4071.46380410156,632.595676612631,4196.868233386,13677.4430872898,3859.66965686561,2477.43416964154,749.639810611444,80317.3568090425,7298.53778435454,571.286844518015,1039.46338051327,1008.80896446596,418.014764281474,108.683838713183,431.948589757524,80.8161877610851,128.191194379652,55.7353019041966,320.47798594913,97.536778332344,206.220617045527,454.242710519202,501.617717137769,3594.92697282068,4993.88305061601,5478.78017718252,3310.67693310928,5849.41993484543,4386.36825986027,4444.89032685968,1128.63986355998,2087.28705631216,718.985394564136,819.30893799169,4004.58144181653,7702.61872315997,3706.39757662907,1889.42673455226,1340.43401079593,914.058951228824,2519.23564606969,359.492697282068,888.978065371936,1109.13250789351,744.066280421024,6064.00084717659,NA,NA,NA,NA,NA,NA,NA,515.551542613818,114.257368903603,317.691220853921,348.345636901229,64.0955971898261,2117.94147235947,209.007382140737
"patient_1039","stim",641,565850,263087,5336,64137,4586,468,2987,2418,394,2254,3497,6140,902,318,39250,1976,749,26564,6835,2920,3354,2856,3015,1739,2057,1484,2852,1335,1359,1224,2613,1624,1370,946,1933,1618,2353,210,1499,331,306,1693,4676,1449,809,1102,497,768,651,808,1344,627,3049,3169,1685,1045,910,222,160,166,449,14640,5368,3094,2508,2516,1873,9430.06097022179,113346.29318724,8104.62136608642,827.074312980472,5278.78413006981,4273.21728373244,696.297605372449,3983.38782362817,6180.08306088186,10850.9322258549,1594.06203057347,561.986392153398,69364.6726164178,3492.09154369533,1323.67235132986,46945.3035256693,12079.172925687,5160.37819210038,5927.36590969338,5047.27401254749,5328.26720862419,3073.25262878855,3635.23902094195,2622.60316338252,5040.20500132544,2359.28249536096,2401.69656269329,2163.11743394893,4617.83158080763,2870.01855615446,2421.13634355395,1671.82115401608,3416.09967305823,2859.41503932137,4158.34585137404,371.123089157904,2649.11195546523,584.960678625077,540.779358487232,2991.95899973491,8263.67411858266,2560.74931518954,1429.70751966069,1947.51259167624,878.324644340373,1357.25015463462,1150.4815763895,1427.94026685517,2375.18777061059,1108.06750905717,5388.35380401166,NA,NA,NA,NA,NA,NA,NA,793.496509675709,25872.5810727225,9486.61305999823,5467.88018025979,4432.27003622868,4446.40805867279,3310.0645047274
"patient_107","ctrl",517,335745,222473,11536,99555,3884,283,3054,2172,347,2164,8247,1734,1237,254,39415,3696,324,123,293,34,8,51,2,21,6,133,33,35,199,208,1729,2814,2970,1980,2568,2337,2127,446,1082,248,175,2308,3098,1721,427,650,282,1417,133,410,573,388,2596,4740,1930,912,849,286,263,202,322,89,79,20,8,1152,94,34359.4096710301,296519.680114373,11568.3033254404,842.901606874265,9096.18907206362,6469.19537148729,1033.52246496597,6445.36776422583,24563.284635661,5164.63387392217,3684.34377280376,756.52653055146,117395.642526322,11008.3545547961,965.018094089264,366.349461644998,872.686115951094,101.267330861219,23.8276072614633,151.900996291829,5.95690181536583,62.5474690613412,17.8707054460975,396.133970721828,98.2888799535362,104.245781768902,592.7117306289,619.517788798046,5149.74161938376,8381.36085421972,8845.99919581825,5897.33279721217,7648.66193092972,6960.63977125497,6335.16508064156,1328.38910482658,3222.68388211291,738.655825105363,521.22890884451,6874.26469493217,9227.24091200167,5125.9140121223,1271.7985375806,1935.99308999389,839.923155966582,4220.46493618669,396.133970721828,1221.16487214999,1706.65237010231,1155.63895218097,7732.05855634484,NA,NA,NA,NA,NA,NA,NA,959.061192273898,265.082130783779,235.29762170695,59.5690181536583,23.8276072614633,3431.17544565072,279.974385322194
"patient_107","stim",525,397441,247001,7714,47853,5084,542,3031,2472,390,2054,3784,5656,872,193,28196,1699,655,31086,6320,2859,3569,2516,3034,1985,2392,1253,2940,1239,1321,1314,2837,1618,1609,1202,1633,1989,1872,126,1312,316,198,1950,3739,1343,925,1057,241,790,374,777,1408,646,3305,4373,2243,1211,1070,244,295,175,300,17120,6304,2977,2867,2823,1709,19409.1701661379,120402.77676435,12791.8357693343,1363.72442702187,7626.28918506143,6219.79111364957,981.277724240831,5168.06268100171,9520.91002186488,14231.0430982209,2194.03634753334,485.60666866277,70943.8633658832,4274.84834226967,1648.04335737883,78215.3829121807,15901.7313261591,7193.52054770394,8979.94922516801,6330.49936971777,7633.8374752479,4994.45200671295,6018.50337534376,3152.66920121477,7397.32438273857,3117.44384701125,3323.76377877471,3306.15110167295,7138.16641966984,4071.04450723504,4048.39963667563,3024.34826804482,4108.78595816738,5004.51639362824,4710.13307635599,317.028187831653,3301.11890821531,795.086566307955,498.187152306883,4906.38862120415,9407.68566906786,3379.11790680881,2327.38947416094,2659.51424236553,606.379311646257,1987.71641576989,941.020176579668,1955.00715829519,3542.66419418228,1625.39848681943,8315.69968875883,NA,NA,NA,NA,NA,NA,NA,754.829018646793,43075.5759974436,15861.4737784979,7490.41996170501,7213.64932153452,7102.94106546632,4300.0093095579
"patient_1244","ctrl",1879,781228,505585,19615,220886,4290,522,6014,4501,692,4383,16925,3758,2576,638,98527,8455,936,491,1220,146,42,227,17,97,27,312,145,103,323,563,5024,7729,7322,4837,6141,5067,5371,2493,2286,1247,839,4965,4840,4034,2500,2276,1826,3193,797,1447,1751,1306,7119,10090,3119,2244,2855,850,904,523,1014,355,71,190,21,2281,227,25107.9070386622,282742.042015903,5491.35463654657,668.178815915456,7698.13677953171,5761.44224221354,885.784943704015,5610.39798880736,21664.6100754197,4810.37546017296,3297.37285401957,816.662997230002,126118.111486019,10822.7047673662,1198.11373888289,628.49769849519,1561.64397589436,186.885262688997,53.7615139242321,290.568182400016,21.7606127788559,124.16349644406,34.5609732370064,399.371246294296,185.605226643182,131.84371271895,413.451642798261,720.660293793873,6430.90109417481,9893.39859810452,9372.4239274578,6191.5343536074,7860.70135735022,6485.94264414486,6875.07360207263,3191.12986221692,2926.1624007332,1596.20494913137,1073.95024243883,6355.37896747172,6195.37446174484,5163.66540881791,3200.09011453763,2913.36204027505,2337.34581965828,4087.15509428746,1020.1887285146,1852.21215829438,2241.34311622215,1671.72707583446,9112.57661015734,NA,NA,NA,NA,NA,NA,NA,1297.95655045646,454.412796264343,90.8825592528686,243.20684870486,26.8807569621161,2919.76222050413,290.568182400016
"patient_1244","stim",1464,744737,438158,8632,90140,7470,617,4664,3553,223,2853,6846,9438,1127,216,50605,3597,1492,53138,12774,6287,7106,5468,5518,4078,4962,2658,5739,2456,2405,2486,5526,3922,3019,2280,3211,3357,3822,832,2287,862,549,3134,4784,2483,4201,2710,1309,1566,1854,1721,2785,1274,5476,5853,2092,1718,2156,458,474,251,707,28693,5630,6692,4986,4558,4378,11590.6689207062,121036.016741481,10030.3865659958,828.480389721472,6262.61351322682,4770.81170936854,299.434565490905,3830.88258002489,9192.50688498087,12672.9301753505,1513.28589824327,290.035274197468,67950.1622720504,4829.89296892729,2003.39180140103,71351.3629643754,17152.3638546225,8441.90633740502,9541.62341873708,7342.18925607295,7409.32705102607,5475.75855637628,6662.7547711474,3569.04517970774,7706.07610471885,3297.80848809714,3229.32793724496,3338.09116506901,7420.06909821857,5266.28863612255,4053.78005926925,3061.48344986217,4311.58919188922,4507.63155315232,5132.01304621632,1117.17290801988,3070.8827411556,1157.45558499175,737.172988585232,4208.19698766142,6423.7442211143,3334.06289737182,5640.91753196095,3638.86848645898,1757.66747187262,2102.75573793165,2489.4694368616,2310.88290228631,3739.57517888865,1710.67101540544,7352.93130326545,NA,NA,NA,NA,NA,NA,NA,949.328420637084,38527.6950117961,7559.71571172105,8985.72247652527,6694.98091272489,6120.28138792621,5878.58532609498
"patient_1256","ctrl",2108,873981,562247,15162,262841,8944,1054,5738,4235,681,4354,15069,3500,2957,738,110555,8294,1098,1222,1271,471,126,572,95,249,76,415,225,211,367,930,4171,7124,5911,4391,5511,4855,4993,1694,2062,3168,771,4509,8547,3864,3051,2572,2455,2754,1299,1858,2164,1162,7402,9542,4241,2267,2153,618,638,400,1009,98,221,393,57,2507,365,17348.2032218092,300739.947435928,10233.6320812466,1205.97587361739,6565.36011652427,4845.64309750441,779.19314035431,4981.80166388056,17241.7935859018,4004.66371694579,3383.36874600249,844.411949458855,126495.884921983,9489.90881952811,1256.32021748757,1398.19973203079,1454.26502406803,538.913317337562,144.167893810048,654.476470312284,108.698015174243,284.903218719858,86.9584121393943,474.83869786643,257.442667517944,241.424012650161,419.917595462602,1064.09635907417,4772.41496096597,8151.20694843481,6763.30492310474,5024.13668031685,6305.6290697395,5555.04067022052,5712.93883963152,1938.25723900176,2359.31902409778,3624.79275865265,882.170207361487,5159.15105705959,9779.38879678162,4421.14874350815,3490.92257154332,2942.85573713845,2808.98555002912,3151.09825041963,1486.3023338036,2125.90433888151,2476.02636670591,1329.548354026,8469.29166652364,NA,NA,NA,NA,NA,NA,NA,1154.4873401138,112.130584074482,252.865908984291,449.666525931342,65.2188091045458,2868.4834109666,417.629216195775
"patient_1256","stim",2026,1046933,620175,8016,135139,9931,1927,6849,5689,761,4784,8556,10663,1972,608,87836,5505,2262,69779,18055,9095,9923,8190,8859,5544,6055,3863,7516,3809,3571,4194,6568,4626,3170,3102,3295,4595,5123,698,3150,3069,823,3898,8922,3456,4592,3514,1974,1842,2322,2362,3580,1380,8824,7606,4142,2895,2514,412,494,354,994,32497,7472,9453,5997,6875,4634,7656.65042557642,129080.848535675,9485.8028164171,1840.61444237597,6541.96591376908,5433.96759869065,726.885101529897,4569.53787873723,8172.44274466465,10184.98796007,1883.59713563332,580.743944454898,83898.3965545073,5258.21614181614,2160.59671440293,66650.8745067736,17245.6117058112,8687.27989279161,9478.1614487269,7822.85017283819,8461.85954593083,5295.46780930585,5783.56017051712,3689.82542340341,7179.06494493917,3638.24619149458,3410.91550271125,4005.98701158527,6273.56287365094,4418.62086685585,3027.89194724018,2962.94032187351,3147.28831739949,4389.01056705634,4893.34083460928,666.709330969604,3008.78852801469,2931.41968015145,786.105701128917,3723.25640704802,8522.03531649112,3301.07084216469,4386.14505417252,3356.47075791861,1885.50747755587,1759.42491066764,2217.9069720794,2256.11381053038,3419.51204136272,1318.13592655882,8428.42856228622,NA,NA,NA,NA,NA,NA,NA,949.439935506857,31040.1907285375,7137.03742264309,9029.23109692788,5728.1602547632,6566.80035876221,4426.26223454605
"patient_1488","ctrl",2031,639805,398658,14967,186295,4254,653,4637,3196,760,2881,13029,3605,1695,767,61017,6832,824,410,1191,101,47,231,14,78,28,271,156,129,226,504,4484,5529,4757,3318,4151,3526,4199,1916,1729,1264,683,2680,4696,2405,2997,1984,2395,2551,1156,1507,1486,1267,7180,8727,3954,1616,1873,1027,877,461,1031,135,114,77,14,1910,184,23393.0650745149,291174.654777628,6648.90083697377,1020.62347121389,7247.52072897211,4995.27199693657,1187.86192668079,4502.93448785177,20364.0171614789,5634.52927063715,2649.24469174202,1198.802760216,95368.1199740546,10678.2535303725,1287.89240471706,640.820249919897,1861.50467720634,157.860598150999,73.4598823078907,361.047506662186,21.8816670704355,121.912145106712,43.763334140871,423.566555434859,243.824290213424,201.62393229187,353.232625565602,787.740014535679,7008.38536741663,8641.69551660271,7435.07787529013,5185.95509569322,6487.91428638413,5511.05414931112,6562.93714491134,2994.66243621103,2702.38588319879,1975.60194121646,1067.51275779339,4188.77626776909,7339.7363259118,3758.95780745696,4684.23972929252,3100.94481912458,3743.32804526379,3987.15233547722,1806.80050953025,2355.40516251045,2322.5826619048,1980.29086987441,11222.1692546948,NA,NA,NA,NA,NA,NA,NA,1611.42848211564,211.001789607771,178.179289002118,120.349168887395,21.8816670704355,2985.28457889513,287.587624354295
"patient_1488","stim",2549,1007267,621300,12351,140836,9229,1598,6477,5223,864,3627,9821,13243,1696,628,68392,5195,2173,69802,21159,10554,10478,8644,7990,5565,6206,4205,8113,4007,3463,3719,7788,4653,3411,2797,3568,4284,5276,835,3613,1560,1092,3354,7057,3016,6676,3616,2664,2258,3279,2607,3668,2280,10020,9316,4831,2525,2523,687,796,418,1184,31209,10474,6857,5274,5983,4593,12261.8928248419,139819.928579016,9162.41671771238,1586.47111441157,6430.27121905116,5185.31829197224,857.766610044804,3600.83274841725,9750.1456912616,13147.4574268789,1683.76408638425,623.469248967751,67898.5810117873,5157.52029998004,2157.32273567981,69298.4084656799,21006.3468772431,10477.8574102001,10402.4057176498,8581.63724216121,7932.35557205786,5524.85090844831,6161.22636798386,4174.66272597037,8054.46817973784,3978.09121116844,3438.01593817727,3692.16900782017,7731.81291554275,4619.43059784546,3386.39109590605,2776.8208429344,3542.25840814799,4253.09277480549,5237.93591967175,828.975832624319,3586.93375242116,1548.74526813645,1084.12168769552,3329.80232649337,7006.08676746086,2994.24085173047,6627.83551928138,3589.91210870603,2644.78038097148,2241.70949708469,3255.34341937143,2588.1916115588,3641.53695097725,2263.55077650712,9947.70999149183,NA,NA,NA,NA,NA,NA,NA,1175.45794709844,30983.8404315837,10398.4345759367,6807.52968180234,5235.95034881516,5939.83521747461,4559.8634721479
